OS_TOOL,,,,,,,,
,OS,Status,SN1,SN2,MJ,UnitPairs,SZ1,SZ2
0,OS396461-1,0,40,A,1,1,40,45
1,OS396461-1,0,50,A,1,1,50,55
2,OS396461-1,0,60,A,1,1,60,65
3,OS396461-1,0,70,A,1,1,70,75
4,OS396461-1,0,80,A,1,1,80,85
5,OS396461-1,0,90,A,1,1,90,95
6,OS396461-1,0,100,A,1,1,100,105
7,OS396461-1,0,110,A,1,1,110,115
8,OS396461-1,0,120,A,1,1,120,125
9,OS396461-1,0,130,A,1,1,130,130
10,OS396826-1,0,40,A,1,1,40,45
11,OS396826-1,0,50,A,1,1,50,55
12,OS396826-1,0,60,A,1,1,60,65
13,OS396826-1,0,70,A,1,1,70,75
14,OS396826-1,0,80,A,1,1,80,85
15,OS396826-1,0,90,A,1,1,90,95
16,OS396826-1,0,100,A,1,1,100,105
17,OS396826-1,0,110,A,1,1,110,115
18,OS396826-1,0,120,A,1,1,120,125
19,OS396826-1,0,130,A,1,1,130,130
20,OS398631-1,0,40,A,1,22,40,45
21,OS398631-1,0,50,A,1,22,50,55
22,OS398631-1,0,60,A,1,22,60,65
23,OS398631-1,0,70,A,1,22,70,75
24,OS398631-1,0,80,A,1,22,80,85
25,OS398631-1,0,90,A,1,22,90,95
26,OS398631-1,0,100,A,1,22,100,105
27,OS398631-1,0,110,A,1,22,110,115
28,OS398631-1,0,120,A,1,22,120,125
29,OS398631-1,0,130,A,1,22,130,130
30,OS399062-1,0,40,A,1,24,40,45
31,OS399062-1,0,50,A,1,24,50,55
32,OS399062-1,0,60,A,1,24,60,65
33,OS399062-1,0,70,A,1,24,70,75
34,OS399062-1,0,80,A,1,24,80,85
35,OS399062-1,0,90,A,1,24,90,95
36,OS399062-1,0,100,A,1,24,100,105
37,OS399062-1,0,110,A,1,24,110,115
38,OS399062-1,0,120,A,1,24,120,125
39,OS399062-1,0,130,A,1,24,130,130
40,OS400000-1,0,40,A,1,24,40,45
41,OS400000-1,0,50,A,1,24,50,55
42,OS400000-1,0,60,A,1,24,60,65
43,OS400000-1,0,70,A,1,24,70,75
44,OS400000-1,0,80,A,1,24,80,85
45,OS400000-1,0,90,A,1,24,90,95
46,OS400000-1,0,100,A,1,24,100,105
47,OS400000-1,0,70,B,1,24,70,75
48,OS400000-1,0,80,B,1,24,80,85
49,OS400000-1,0,90,B,1,24,90,95
50,OS400000-1,0,100,B,1,24,100,105
51,OS400000-1,0,110,A,1,24,110,115
52,OS400000-1,0,120,A,1,24,120,125
53,OS400000-1,0,130,A,1,24,130,130
54,OS396826-1,0,10,A,0,1,10,15
55,OS396826-1,0,20,A,0,1,20,25
56,OS396826-1,0,30,A,0,1,30,35
57,OS396826-1,0,40,A,0,1,40,45
58,OS396826-1,0,50,A,0,1,50,55
59,OS396826-1,0,60,A,0,1,60,60
60,OS398734-1,0,10,A,0,22,10,15
61,OS398734-1,0,20,A,0,22,20,25
62,OS398734-1,0,30,A,0,22,30,35
63,OS398734-1,0,40,A,0,22,40,45
64,OS398734-1,0,50,A,0,22,50,55
65,OS398734-1,0,60,A,0,22,60,60
66,OS399066-1,0,10,A,0,24,10,15
67,OS399066-1,0,20,A,0,24,20,25
68,OS399066-1,0,30,A,0,24,30,35
69,OS399066-1,0,40,A,0,24,40,45
70,OS399066-1,0,50,A,0,24,50,55
71,OS399066-1,0,60,A,0,24,60,60
72,OS400002-1,0,10,A,0,24,10,15
73,OS400002-1,0,20,A,0,24,20,25
74,OS400002-1,0,30,A,0,24,30,35
75,OS400002-1,0,40,A,0,24,40,45
76,OS400002-1,0,50,A,0,24,50,55
77,OS400002-1,0,30,B,0,24,30,35
78,OS400002-1,0,40,B,0,24,40,45
79,OS400002-1,0,50,B,0,24,50,55
80,OS400002-1,0,60,A,0,24,60,60
